#"Step","Potential Energy","Kinetic Energy","Total Energy","Temperature (R.U.)"
47000,-13.773078490048647,104.53282665461302,90.75974816456437,1.0888836109851279
48000,6.056737111881375,89.06788774579763,95.12462485767901,0.9277904973516972
49000,-13.867563746869564,106.16619561985135,92.29863187298179,1.1058978710396874
50000,-2.050760492682457,100.59094299376011,98.54018250107765,1.0478223228512595
51000,-4.665196072310209,99.974409583956,95.3092135116458,1.0414000998324693
52000,-17.815316505730152,107.44689314067364,89.63157663494349,1.119238470214914
53000,-12.042882516980171,92.898023750633,80.85514123365283,0.96768774740205
54000,-1.6768460273742676,96.45458963885903,94.77774361148477,1.0047353087377233
55000,-6.1915213614702225,103.46265298873186,97.27113162726164,1.0777359686322037
56000,-22.391784593462944,100.57919754646719,78.18741295300424,1.0476999744419584
57000,0.17970229871571064,86.81756395101547,86.99726624973118,0.9043496244893919
58000,6.342243557795882,110.299475684762,116.64171924255788,1.148952871715823
59000,9.711787290871143,86.74254105240107,96.45432834327221,0.903568135962159
60000,11.976280115544796,84.03774359077215,96.01402370631695,0.8753931624035355
61000,4.887712600640953,87.66003347747028,92.54774607811123,0.913125348723293
62000,-3.017259022220969,98.44859296549112,95.43133394327015,1.0255061767234663
63000,2.4803006425499916,112.24877008795738,114.72907073050737,1.1692580217491004
64000,26.35244968906045,85.43972874246538,111.79217843152583,0.8899971744003342
65000,-18.89337009564042,99.45451172441244,80.56114162877202,1.0359844971288925
66000,-13.745467256754637,98.90258479490876,85.15711753815413,1.0302352582798981
67000,-11.392287597991526,98.4494685716927,87.05718097370118,1.0255152976213995
68000,-16.470608153380454,117.20642824470997,100.73582009132951,1.220900294215253
69000,-14.685304652899504,110.37690396327525,95.69159931037575,1.149759416283669
70000,-13.894474856555462,74.66466503962874,60.77019018307328,0.7777569274958297
71000,-32.33638419955969,90.29496325552464,57.95857905596495,0.9405725339113484
72000,-20.07056649774313,83.00388123095036,62.933314733207226,0.8646237628220627
73000,-25.286066764965653,84.52613386511803,59.24006710015237,0.8804805610946363
74000,-25.312266428023577,87.70832879841328,62.3960623703897,0.9136284249831156
75000,-5.08942112326622,69.7414965890348,64.65207546576858,0.7264739228021626
76000,-22.367675457149744,104.22898262739182,81.86130717024207,1.085718569034908
77000,-9.769993342459202,91.416981972754,81.6469886302948,0.9522602288824831
78000,-33.322478502988815,109.44196669757366,76.11948819458485,1.1400204864326147
79000,-11.214638406410813,83.90219930186868,72.68756089545786,0.8739812427274583
80000,-34.55363259091973,91.87856589257717,57.32493330165744,0.9570683947139725
81000,-32.21214953251183,91.6716873832047,59.45953785069287,0.9549134102413436
82000,-29.166227910667658,94.97521027550101,65.80898236483335,0.9893251070360833
83000,-16.049926534295082,75.88897216320038,59.839045628905296,0.7905101266996959
84000,-26.231262482702732,89.3111668266356,63.07990434393287,0.9303246544437583
85000,-18.50327669456601,87.63426977396011,69.1309930793941,0.9128569768117288
86000,-8.266147060319781,94.28829634189606,86.02214928157628,0.9821697535610344
